編號,圖層,顏色,街廓編號,分區代碼,分區簡稱,使用分區
1996,47,50,,T,保,保護區
1997,47,50,,T,保,保護區
1998,30,15,,K,保存,保存區
1999,30,15,,K,保存,保存區
2000,298,3,,D28,溫特區,溫泉產業特定專用區
2001,298,3,,D28,溫特區,溫泉產業特定專用區
2002,10,4,,R,住,住宅區
2003,26,10,,C,文教,文教區
2004,10,4,,R,住,住宅區
2005,10,4,,R,住,住宅區
2006,47,50,,T,保,保護區
2007,10,4,,R,住,住宅區
2008,26,10,,C,文教,文教區
2009,10,4,,R,住,住宅區
2010,10,4,,R,住,住宅區
2011,10,4,,R,住,住宅區
2012,11,3,,B,商,商業區
2013,10,4,,R,住,住宅區
2014,10,4,,R,住,住宅區
2015,20,3,,B5,觀商,特定觀光商業專用區
2016,10,4,,R,住,住宅區
2017,10,4,,R5,休閒,特定休閒旅館住宅專用區
2018,47,50,,T,保,保護區
2019,11,3,,B,商,商業區
2020,20,3,,BAI,捷運開發,捷運開發區
2021,11,3,,B,商,商業區
2022,11,3,,B,商,商業區
2023,10,4,,R,住,住宅區
2024,10,4,,R,住,住宅區
2025,11,3,,B,商,商業區
2026,20,3,,BAI,捷運開發,捷運開發區
2027,20,3,,BAI,捷運開發,捷運開發區
2028,47,50,,T,保,保護區
2029,11,3,,B,商,商業區
2030,21,9,,I,工,工業區
2031,278,13,,D29,電信社福,電信及社會福利專用區
2032,10,4,,R,住,住宅區
2033,47,50,,T,保,保護區
2034,10,4,,R,住,住宅區
2035,30,15,,K,保存,保存區
2036,41,10,,PSG,大學用地,大學用地
2037,41,10,,PSG,大學用地,大學用地
2038,26,10,,C,文教,文教區
2039,10,4,,R,住,住宅區
2040,10,4,,R,住,住宅區
2041,298,3,,D28,溫特區,溫泉產業特定專用區
2042,298,3,,D28,溫特區,溫泉產業特定專用區
2043,298,3,,D28,溫特區,溫泉產業特定專用區
2044,21,9,,I,工,工業區
2045,217,3,,D,特,特定專用區
2046,21,9,,I,工,工業區
2047,21,9,,I,工,工業區
2048,217,3,,D,特,特定專用區
2049,21,9,,I,工,工業區
2050,21,9,,I,工,工業區
2051,53,3,,D6,金融專用區,金融服務專用區
2052,10,4,,R,住,住宅區
2053,217,3,,D,特,特定專用區
2054,21,9,,I,工,工業區
2055,10,4,,R,住,住宅區
2056,47,50,,T,保,保護區
2057,47,50,,T,保,保護區
2058,10,4,,R,住,住宅區
2059,47,50,,T,保,保護區
2060,47,50,,T,保,保護區
2061,47,50,,T,保,保護區
2062,217,3,,D,特,特定專用區
2063,217,3,,D,特,特定專用區
2064,21,9,,I,工,工業區
2065,298,3,,D28,溫特區,溫泉產業特定專用區
2066,298,3,,D28,溫特區,溫泉產業特定專用區
2067,298,3,,D28,溫特區,溫泉產業特定專用區
2068,298,3,,D28,溫特區,溫泉產業特定專用區
2069,11,3,,B,商,商業區
2070,10,4,,R,住,住宅區
2071,47,50,,T,保,保護區
2072,10,4,,R,住,住宅區
2073,30,15,,KD,寺專,寺廟專用區
2074,30,15,,KD,寺專,寺廟專用區
2075,10,4,,R,住,住宅區
2076,10,4,,R,住,住宅區
2077,10,4,,R,住,住宅區
2078,10,4,,R,住,住宅區
2079,47,50,,T,保,保護區
2080,47,50,,T,保,保護區
2081,47,50,,T,保,保護區
2082,47,50,,T,保,保護區
2083,47,50,,T,保,保護區
2084,52,14,,A,農,農業區
2085,52,14,,A,農,農業區
2086,192,10,,CKA1,文教,文教區(供馬偕醫護管理專科學校使用)
2087,191,10,,CJA1,文教,文教區(供臺北城市科技大學使用)
2088,189,10,,CIA1,文教,文教區(供幼華高級中學使用)
2089,187,10,,CHA1,文教,文教區(供私立薇閣中小學使用)
2090,187,10,,CHA1,文教,文教區(供私立薇閣中小學使用)
2091,190,10,,CIA2,文教,文教區(供奎山實驗高級中等學校使用)
2092,21,9,,I,工,工業區
2093,47,50,,T,保,保護區
2094,47,50,,T,保,保護區
2095,47,50,,T,保,保護區
2096,47,50,,T,保,保護區
2097,47,50,,T,保,保護區
2098,10,4,,R,住,住宅區
2099,47,50,,T,保,保護區
2100,47,50,,T,保,保護區
2101,47,50,,T,保,保護區
2102,47,50,,T,保,保護區
2103,10,4,,R,住,住宅區
2104,10,4,,R,住,住宅區
2105,47,50,,T,保,保護區
2106,47,50,,T,保,保護區
2107,10,4,,R,住,住宅區
2108,10,4,,R,住,住宅區
2109,30,3,,K5,聚落專用,聚落風貌保存專用區
2110,10,4,,R,住,住宅區
2111,30,3,,K5,聚落專用,聚落風貌保存專用區
2112,30,3,,K5,聚落專用,聚落風貌保存專用區
2113,30,3,,K5,聚落專用,聚落風貌保存專用區
2114,217,3,,D,特,特定專用區
2115,47,50,,T,保,保護區
2116,47,50,,T,保,保護區
2117,47,50,,T,保,保護區
2118,10,4,,R,住,住宅區
2119,47,50,,T,保,保護區
2120,47,50,,T,保,保護區
2121,10,4,,R,住,住宅區
2122,38,13,,PHD,醫專,醫療專用區
2123,21,9,,I,工,工業區
2124,31,14,,L,風,風景區
2125,31,14,,L,風,風景區
2126,10,4,,R,住,住宅區
2127,10,4,,R,住,住宅區
2128,52,14,,A,農,農業區
2129,190,10,,CIA3,文教,文教區(供私立東山高中使用)
2130,190,10,,CIA3,文教,文教區(供私立東山高中使用)
2131,190,10,,CIA3,文教,文教區(供私立東山高中使用)
2132,190,10,,CIA3,文教,文教區(供私立東山高中使用)
2133,47,50,,T,保,保護區
2134,47,50,,T,保,保護區
2135,53,50,,D19,休特,休閒農業特定專用區
2136,53,50,,D19,休特,休閒農業特定專用區
2137,53,50,,D19,休特,休閒農業特定專用區
2138,53,50,,D19,休特,休閒農業特定專用區
2139,53,50,,D19,休特,休閒農業特定專用區
2140,53,50,,D19,休特,休閒農業特定專用區
2141,53,50,,D19,休特,休閒農業特定專用區
2142,21,9,,I,工,工業區
2143,53,50,,D19,休特,休閒農業特定專用區
2144,47,50,,T,保,保護區
2145,11,3,,B,商,商業區
2146,217,3,,D,特,特定專用區
2147,217,3,,D,特,特定專用區
2148,41,10,,PSG,大學用地,大學用地
2149,21,9,,I,工,工業區
2150,48,5,,PFE,堤,堤防用地
2151,26,10,,CDU,中國海專,私立中國海專用地
2152,32,19,,PEA,公,公園用地
2153,112,18,,PUB,電力,電力設施用地
2154,43,18,,PTC,車站,車站用地
2155,41,10,,PSB,國小,國小用地
2156,41,10,,PSC,國中,國中用地
2157,32,19,,PEA,公,公園用地
2158,32,19,,PEA,公,公園用地
2159,32,19,,PEA,公,公園用地
2160,35,13,,PG,機,機關用地
2161,38,13,,PHC,醫療,醫療用地
2162,32,19,,PEA,公,公園用地
2163,48,5,,PFE,堤,堤防用地
2164,32,19,,PEA,公,公園用地
2165,42,18,,PTA,交,交通用地
2166,41,10,,PSB,國小,國小用地
2167,35,13,,PG,機,機關用地
2168,35,13,,PG,機,機關用地
2169,35,13,,PG,機,機關用地
2170,45,17,,PUG,油,加油站用地
2171,46,18,,PUA,煤氣,煤氣公用事業用地
2172,42,11,,PTA3,高速公路,高速公路用地
2173,41,10,,PSB,國小,國小用地
2174,35,13,,PG,機,機關用地
2175,48,5,,PFE,堤,堤防用地
2176,48,5,,PFE,堤,堤防用地
2177,48,5,,PFE,堤,堤防用地
2178,48,5,,PFE,堤,堤防用地
2179,48,5,,PFE,堤,堤防用地
2180,35,13,,PG,機,機關用地
2181,45,13,,PUF,郵,郵政用地
2182,41,10,,PSB,國小,國小用地
2183,32,19,,PEA,公,公園用地
2184,49,7,,PFB,排水溝,排水溝用地
2185,49,7,,PFB,排水溝,排水溝用地
2186,49,7,,PFB,排水溝,排水溝用地
2187,49,7,,PFB,排水溝,排水溝用地
2188,41,10,,PSB,國小,國小用地
2189,42,18,,PTA,交,交通用地
2190,35,13,,PG,機,機關用地
2191,46,13,,PUC,電信,電信用地
2192,32,19,,PEA,公,公園用地
2193,42,18,,PTA,交,交通用地
2194,35,13,,PG,機,機關用地
2195,35,13,,PGAD,市民運動中心,市民運動中心用地
2196,35,13,,PG,機,機關用地
2197,42,18,,PTA1,人行步道,人行步道用地
2198,32,19,,PEB,綠,綠地用地
2199,32,19,,PEA,公,公園用地
2200,41,10,,PSC,國中,國中用地
2201,35,13,,PG,機,機關用地
2202,35,13,,PG,機,機關用地
2203,35,13,,PG,機,機關用地
2204,42,18,,PTA,交,交通用地
2205,35,13,,PG,機,機關用地
2206,46,18,,PUB1,變,變電所用地
2207,32,19,,PEB,綠,綠地用地
2208,32,19,,PEB,綠,綠地用地
2209,32,19,,PEB,綠,綠地用地
2210,32,19,,PEA,公,公園用地
2211,49,13,,PFC2,調節池,防洪調節池用地
2212,35,13,,PG,機,機關用地
2213,32,19,,PEA,公,公園用地
2214,42,18,,PTA1,人行步道,人行步道用地
2215,32,19,,PEB,綠,綠地用地
2216,32,19,,PEB,綠,綠地用地
2217,32,19,,PEB,綠,綠地用地
2218,42,18,,PTA1,人行步道,人行步道用地
2219,42,18,,PTA1,人行步道,人行步道用地
2220,42,18,,PTA1,人行步道,人行步道用地
2221,32,19,,PEB,綠,綠地用地
2222,46,18,,PUB1,變,變電所用地
2223,32,19,,PEB,綠,綠地用地
2224,42,18,,PTA1,人行步道,人行步道用地
2225,276,10,,PSE,高職,高職用地
2226,41,10,,PSD,高中,高中用地
2227,35,13,,PGA0,社教機構,社教機構用地
2228,32,19,,PEA,公,公園用地
2229,32,19,,PEB,綠,綠地用地
2230,34,17,,PED,廣場,廣場用地
2231,35,13,,PG,機,機關用地
2232,32,19,,PEA,公,公園用地
2233,39,16,,PM,市,市場用地
2234,43,18,,PTB,鐵,鐵路用地
2235,42,18,,PTA,交,交通用地
2236,42,18,,PTA,交,交通用地
2237,42,18,,PTA,交,交通用地
2238,41,10,,PSB,國小,國小用地
2239,49,13,,PFD1,抽,抽水站用地
2240,39,16,,PM,市,市場用地
2241,32,19,,PEA,公,公園用地
2242,41,10,,PSF,大專,大專用地
2243,32,19,,PEB,綠,綠地用地
2244,32,19,,PEA,公,公園用地
2245,32,19,,PEA,公,公園用地
2246,32,19,,PEA,公,公園用地
2247,32,19,,PEA,公,公園用地
2248,32,19,,PEA,公,公園用地
2249,45,17,,PUG,油,加油站用地
2250,41,10,,PSB,國小,國小用地
2251,42,18,,PTA,交,交通用地
2252,42,18,,PTA,交,交通用地
2253,42,18,,PTA,交,交通用地
2254,35,13,,PG,機,機關用地
2255,35,13,,PG,機,機關用地
2256,35,13,,PG,機,機關用地
2257,41,10,,PSB,國小,國小用地
2258,32,19,,PEA,公,公園用地
2259,32,19,,PEA,公,公園用地
2260,32,19,,PEB,綠,綠地用地
2261,32,19,,PEA,公,公園用地
2262,49,7,,PFB,排水溝,排水溝用地
2263,49,13,,PFD1,抽,抽水站用地
2264,35,13,,PG,機,機關用地
2265,41,10,,PSC,國中,國中用地
2266,35,13,,PG,機,機關用地
2267,43,16,,PTD,停,停車場用地
2268,46,18,,PUB1,變,變電所用地
2269,41,10,,PSB,國小,國小用地
2270,44,13,,PUE2,自,自來水用地
2271,41,10,,PSB,國小,國小用地
2272,35,13,,PG,機,機關用地
2273,41,10,,PSB,國小,國小用地
2274,32,19,,PEA,公,公園用地
2275,35,13,,PG,機,機關用地
2276,39,16,,PM,市,市場用地
2277,42,18,,PTA,交,交通用地
2278,32,19,,PEA,公,公園用地
2279,32,19,,PEA,公,公園用地
2280,32,19,,PEB,綠,綠地用地
2281,37,13,,PGC,軍事機關,軍事機關用地
2282,32,19,,PEA,公,公園用地
2283,32,19,,PEB,綠,綠地用地
2284,32,19,,PEB,綠,綠地用地
2285,42,18,,PTA8,擋土牆護坡,擋土牆護坡用地
2286,42,18,,PTA8,擋土牆護坡,擋土牆護坡用地
2287,32,19,,PEB,綠,綠地用地
2288,32,19,,PEB,綠,綠地用地
2289,32,19,,PEB,綠,綠地用地
2290,49,13,,PFD1,抽,抽水站用地
2291,35,13,,PG,機,機關用地
2292,42,18,,PTA,交,交通用地
2293,32,19,,PEA,公,公園用地
2294,32,19,,PEA,公,公園用地
2295,35,13,,PGA0,社教機構,社教機構用地
2296,35,13,,PG,機,機關用地
2297,32,19,,PEA,公,公園用地
2298,49,7,,PFA,河道,河道用地
2299,49,7,,PFA,河道,河道用地
2300,49,7,,PFA,河道,河道用地
2301,41,10,,PSB,國小,國小用地
2302,41,10,,PSC,國中,國中用地
2303,41,10,,PSD3,啟智學校,市立啟智學校用地
2304,41,10,,PSD4,啟明學校,市立啟明學校用地
2305,33,19,,PEC2,體育場,體育場用地
2306,42,18,,PTA6,道路護坡,道路護坡用地
2307,42,18,,PTA6,道路護坡,道路護坡用地
2308,42,18,,PTA6,道路護坡,道路護坡用地
2309,42,18,,PTA6,道路護坡,道路護坡用地
2310,42,18,,PTA6,道路護坡,道路護坡用地
2311,46,13,,PUB3,電路鐵塔,電路鐵塔用地
2312,41,10,,PSB,國小,國小用地
2313,32,19,,PEA,公,公園用地
2314,35,13,,PG,機,機關用地
2315,32,19,,PEB,綠,綠地用地
2316,34,17,,PED,廣場,廣場用地
2317,34,17,,PED,廣場,廣場用地
2318,41,10,,PSB,國小,國小用地
2319,32,19,,PEA,公,公園用地
2320,35,13,,PG,機,機關用地
2321,32,19,,PEB,綠,綠地用地
2322,32,19,,PEA,公,公園用地
2323,34,17,,PED,廣場,廣場用地
2324,43,16,,PTD,停,停車場用地
2325,32,19,,PEB,綠,綠地用地
2326,32,19,,PEB,綠,綠地用地
2327,32,19,,PEB,綠,綠地用地
2328,32,19,,PEB,綠,綠地用地
2329,32,19,,PEB,綠,綠地用地
2330,44,13,,PUE2,自,自來水用地
2331,32,19,,PEA,公,公園用地
2332,32,19,,PEA,公,公園用地
2333,32,19,,PEB,綠,綠地用地
2334,46,13,,PUC,電信,電信用地
2335,44,13,,PUE2,自,自來水用地
2336,35,13,,PG,機,機關用地
2337,32,19,,PEB3,綠(苗),綠地(苗圃)
2338,32,19,,PEB3,綠(苗),綠地(苗圃)
2339,32,19,,PEB3,綠(苗),綠地(苗圃)
2340,35,13,,PG,機,機關用地
2341,35,13,,PG,機,機關用地
2342,45,17,,PUG,油,加油站用地
2343,46,13,,PUC,電信,電信用地
2344,41,10,,PSC,國中,國中用地
2345,26,10,,CEC,文化大學,私立文化大學用地
2346,26,10,,CEC,文化大學,私立文化大學用地
2347,26,10,,CEC,文化大學,私立文化大學用地
2348,26,10,,CEC,文化大學,私立文化大學用地
2349,26,10,,CEC,文化大學,私立文化大學用地
2350,26,10,,CEC,文化大學,私立文化大學用地
2351,44,13,,PUE2,自,自來水用地
2352,32,19,,PEA,公,公園用地
2353,44,13,,PUE4,加壓站,自來水加壓站用地
2354,46,13,,PUC,電信,電信用地
2355,44,13,,PUE,水,自來水事業用地
2356,32,19,,PEB,綠,綠地用地
2357,32,19,,PEB,綠,綠地用地
2358,32,19,,PEB,綠,綠地用地
2359,32,19,,PEB,綠,綠地用地
2360,32,19,,PEB,綠,綠地用地
2361,41,10,,PSC,國中,國中用地
2362,35,13,,PG,機,機關用地
2363,32,19,,PEA,公,公園用地
2364,35,13,,PG,機,機關用地
2365,41,10,,PSB,國小,國小用地
2366,44,13,,PUE2,自,自來水用地
2367,32,19,,PEB3,綠(苗),綠地(苗圃)
2368,32,19,,PEA,公,公園用地
2369,44,13,,PUE,水,自來水事業用地
2370,32,19,,PEB,綠,綠地用地
2371,32,19,,PEB,綠,綠地用地
2372,32,19,,PEB,綠,綠地用地
2373,32,19,,PEB,綠,綠地用地
2374,32,19,,PEB,綠,綠地用地
2375,32,19,,PEB,綠,綠地用地
2376,32,19,,PEB,綠,綠地用地
2377,32,19,,PEB,綠,綠地用地
2378,32,19,,PEB,綠,綠地用地
2379,32,19,,PEB,綠,綠地用地
2380,32,19,,PEB,綠,綠地用地
2381,32,19,,PEB,綠,綠地用地
2382,32,19,,PEB,綠,綠地用地
2383,32,19,,PEB,綠,綠地用地
2384,35,13,,PG,機,機關用地
2385,35,13,,PG,機,機關用地
2386,49,7,,PFB3,水溝,水溝用地
2387,46,18,,PUB1,變,變電所用地
2388,40,18,,PPC,污,污水處理場用地
2389,35,13,,PG,機,機關用地
2390,35,13,,PGA0,社教機構,社教機構用地
2391,46,13,,PUC,電信,電信用地
2392,35,13,,PG,機,機關用地
2393,41,10,,PSB,國小,國小用地
2394,41,10,,PSC,國中,國中用地
2395,41,10,,PSB,國小,國小用地
2396,41,10,,PS,文,學校用地
2397,41,10,,PSB,國小,國小用地
2398,42,11,,PTA3,高速公路,高速公路用地
2399,42,11,,PTA3,高速公路,高速公路用地
2400,42,11,,PTA3,高速公路,高速公路用地
2401,35,13,,PG,機,機關用地
2402,44,13,,PUE,水,自來水事業用地
2403,35,13,,PG,機,機關用地
2404,35,13,,PG,機,機關用地
2405,35,13,,PG,機,機關用地
2406,35,13,,PG,機,機關用地
2407,49,13,,PFD1,抽,抽水站用地
2408,49,13,,PFD1,抽,抽水站用地
2409,49,13,,PFD1,抽,抽水站用地
2410,49,7,,PFB,排水溝,排水溝用地
2411,49,7,,PFB,排水溝,排水溝用地
2412,49,7,,PFB,排水溝,排水溝用地
2413,49,7,,PFB,排水溝,排水溝用地
2414,49,7,,PFB,排水溝,排水溝用地
2415,43,18,,PTG2,轉運站,轉運站用地
2416,32,19,,PEA,公,公園用地
2417,42,18,,PTA,交,交通用地
2418,41,10,,PSC,國中,國中用地
2419,35,13,,PG,機,機關用地
2420,32,19,,PEA,公,公園用地
2421,42,18,,PTA,交,交通用地
2422,41,10,,PSB,國小,國小用地
2423,41,10,,PSC,國中,國中用地
2424,32,19,,PEA,公,公園用地
2425,35,13,,PG,機,機關用地
2426,35,13,,PG,機,機關用地
2427,41,10,,PSB,國小,國小用地
2428,41,10,,PSD,高中,高中用地
2429,276,10,,PSE,高職,高職用地
2430,35,13,,PG,機,機關用地
2431,35,13,,PG,機,機關用地
2432,43,18,,PTG2,轉運站,轉運站用地
2433,43,18,,PTC,車站,車站用地
2434,43,18,,PTC,車站,車站用地
2435,32,19,,PEA,公,公園用地
2436,46,18,,PUB1,變,變電所用地
2437,32,19,,PEB,綠,綠地用地
2438,32,19,,PEA,公,公園用地
2439,41,10,,PSC,國中,國中用地
2440,42,18,,PTA,交,交通用地
2441,49,13,,PFD1,抽,抽水站用地
2442,49,13,,PFD1,抽,抽水站用地
2443,41,10,,PSB,國小,國小用地
2444,35,13,,PG,機,機關用地
2445,144,13,,PTE4,調,調度站用地
2446,32,19,,PEB,綠,綠地用地
2447,32,19,,PEB,綠,綠地用地
2448,49,13,,PFD1,抽,抽水站用地
2449,32,19,,PEB,綠,綠地用地
2450,35,13,,PG,機,機關用地
2451,42,18,,PTA,交,交通用地
2452,45,13,,PUF,郵,郵政用地
2453,38,13,,PHC,醫療,醫療用地
2454,41,10,,PSB,國小,國小用地
2455,42,18,,PTA,交,交通用地
2456,42,18,,PTA,交,交通用地
2457,32,19,,PEA,公,公園用地
2458,35,13,,PG,機,機關用地
2459,35,13,,PG,機,機關用地
2460,32,19,,PEA,公,公園用地
2461,32,19,,PEB,綠,綠地用地
2462,40,18,,PPA,垃圾處理場,垃圾處理場用地
2463,42,11,,PTA3,高速公路,高速公路用地
2464,42,11,,PTA3,高速公路,高速公路用地
2465,42,18,,PTA5,護坡,護坡用地
2466,42,18,,PTA5,護坡,護坡用地
2467,42,18,,PTA5,護坡,護坡用地
2468,42,18,,PTA5,護坡,護坡用地
2469,42,18,,PTA5,護坡,護坡用地
2470,42,18,,PTA5,護坡,護坡用地
2471,42,18,,PTA5,護坡,護坡用地
2472,42,18,,PTA5,護坡,護坡用地
2473,42,18,,PTA5,護坡,護坡用地
2474,49,13,,PFD1,抽,抽水站用地
2475,33,19,,PEC2,體育場,體育場用地
2476,32,19,,PEB,綠,綠地用地
2477,49,7,,PFB4,溝渠,溝渠用地
2478,35,13,,PG,機,機關用地
2479,35,13,,PG,機,機關用地
2480,49,7,,PFA,河道,河道用地
2481,49,13,,PFD1,抽,抽水站用地
2482,35,13,,PG,機,機關用地
2483,42,18,,PTA5,護坡,護坡用地
2484,42,18,,PTA5,護坡,護坡用地
2485,42,18,,PTA5,護坡,護坡用地
2486,42,18,,PTA5,護坡,護坡用地
2487,42,18,,PTA5,護坡,護坡用地
2488,32,19,,PEA,公,公園用地
2489,42,18,,PTA5,護坡,護坡用地
2490,42,18,,PTA5,護坡,護坡用地
2491,42,18,,PTA,交,交通用地
2492,42,18,,PTA5,護坡,護坡用地
2493,42,18,,PTA5,護坡,護坡用地
2494,42,18,,PTA5,護坡,護坡用地
2495,49,7,,PFA,河道,河道用地
2496,49,7,,PFA,河道,河道用地
2497,49,7,,PFA,河道,河道用地
2498,32,19,,PEB,綠,綠地用地
2499,32,19,,PEA,公,公園用地
2500,32,19,,PEA,公,公園用地
2501,42,18,,PTA,交,交通用地
2502,42,18,,PTA,交,交通用地
2503,35,13,,PG,機,機關用地
2504,42,11,,PTA3,高速公路,高速公路用地
2505,49,7,,PFA,河道,河道用地
2506,44,13,,PUE,水,自來水事業用地
2507,42,18,,PTA5,護坡,護坡用地
2508,42,18,,PTA,交,交通用地
2509,43,16,,PTD,停,停車場用地
2510,32,19,,PEB,綠,綠地用地
2511,41,10,,PSB,國小,國小用地
2512,41,10,,PSB,國小,國小用地
2513,43,18,,PTB,鐵,鐵路用地
2514,42,18,,PTA,交,交通用地
2515,32,19,,PEB,綠,綠地用地
2516,49,7,,PFA,河道,河道用地
2517,42,11,,PTA3,高速公路,高速公路用地
2518,35,13,,PG,機,機關用地
2519,41,10,,PSB,國小,國小用地
2520,41,10,,PSB,國小,國小用地
2521,35,13,,PG,機,機關用地
2522,48,5,,PFE,堤,堤防用地
2523,48,5,,PFE,堤,堤防用地
2524,48,5,,PFE,堤,堤防用地
2525,49,7,,PFA,河道,河道用地
2526,48,5,,PFE,堤,堤防用地
2527,34,17,,PED,廣場,廣場用地
2528,34,17,,PED,廣場,廣場用地
2529,42,18,,PTA,交,交通用地
2530,41,10,,PSB,國小,國小用地
2531,41,10,,PSC,國中,國中用地
2532,41,10,,PSB,國小,國小用地
2533,32,19,,PEA,公,公園用地
2534,41,10,,PSB,國小,國小用地
2535,35,13,,PG,機,機關用地
2536,43,16,,PTD,停,停車場用地
2537,41,10,,PSB,國小,國小用地
2538,41,10,,PSB,國小,國小用地
2539,35,13,,PG,機,機關用地
2540,32,19,,PEA,公,公園用地
2541,39,16,,PM,市,市場用地
2542,41,10,,PSB,國小,國小用地
2543,32,19,,PEA,公,公園用地
2544,35,13,,PG,機,機關用地
2545,35,13,,PG,機,機關用地
2546,32,19,,PEA,公,公園用地
2547,38,13,,PHB,醫院,醫院用地
2548,32,19,,PEA,公,公園用地
2549,41,10,,PSC,國中,國中用地
2550,35,13,,PG,機,機關用地
2551,41,10,,PSC,國中,國中用地
2552,35,13,,PG,機,機關用地
2553,41,10,,PSB,國小,國小用地
2554,41,10,,PSD,高中,高中用地
2555,32,19,,PEA,公,公園用地
2556,35,13,,PG,機,機關用地
2557,42,18,,PTA,交,交通用地
2558,42,18,,PTA,交,交通用地
2559,42,18,,PTA,交,交通用地
2560,42,18,,PTA,交,交通用地
2561,42,18,,PTA,交,交通用地
2562,42,18,,PTA,交,交通用地
2563,42,18,,PTA,交,交通用地
2564,43,16,,PTD,停,停車場用地
2565,32,19,,PEB,綠,綠地用地
2566,41,10,,PSB,國小,國小用地
2567,41,10,,PSC,國中,國中用地
2568,41,10,,PSD,高中,高中用地
2569,41,10,,PSC,國中,國中用地
2570,40,18,,PPC,污,污水處理場用地
2571,35,13,,PG,機,機關用地
2572,32,19,,PEA,公,公園用地
2573,45,17,,PUG,油,加油站用地
2574,42,18,,PTA,交,交通用地
2575,42,11,,PTA3,高速公路,高速公路用地
2576,41,10,,PSB,國小,國小用地
2577,32,19,,PEA,公,公園用地
2578,41,10,,PSC,國中,國中用地
2579,46,18,,PUB1,變,變電所用地
2580,39,16,,PMA,批,批發市場用地
2581,41,10,,PSB,國小,國小用地
2582,35,13,,PG,機,機關用地
2583,35,13,,PG,機,機關用地
2584,35,13,,PG,機,機關用地
2585,35,13,,PG,機,機關用地
2586,35,13,,PG,機,機關用地
2587,41,10,,PSC,國中,國中用地
2588,41,10,,PSD,高中,高中用地
2589,41,10,,PSC,國中,國中用地
2590,41,10,,PSB,國小,國小用地
2591,41,10,,PSB,國小,國小用地
2592,46,13,,PUC,電信,電信用地
2593,41,10,,PSB,國小,國小用地
2594,43,18,,PTB,鐵,鐵路用地
2595,43,18,,PTB,鐵,鐵路用地
2596,43,18,,PTB,鐵,鐵路用地
2597,41,10,,PSC,國中,國中用地
2598,41,10,,PSB,國小,國小用地
2599,35,13,,PG,機,機關用地
2600,42,18,,PTA,交,交通用地
2601,42,18,,PTA,交,交通用地
2602,42,18,,PTA,交,交通用地
2603,42,18,,PTA,交,交通用地
2604,34,17,,PED,廣場,廣場用地
2605,34,17,,PED,廣場,廣場用地
2606,43,18,,PTB,鐵,鐵路用地
2607,43,18,,PTB,鐵,鐵路用地
2608,41,10,,PSC,國中,國中用地
2609,41,10,,PSB,國小,國小用地
2610,39,16,,PMA,批,批發市場用地
2611,42,18,,PTA,交,交通用地
2612,40,18,,PPC,污,污水處理場用地
2613,46,18,,PUB1,變,變電所用地
2614,35,13,,PG,機,機關用地
2615,41,10,,PSB,國小,國小用地
2616,39,16,,PM,市,市場用地
2617,32,19,,PEA,公,公園用地
2618,41,10,,PSB,國小,國小用地
2619,42,18,,PTA,交,交通用地
2620,32,19,,PEB,綠,綠地用地
2621,32,19,,PEA,公,公園用地
2622,42,18,,PTA,交,交通用地
2623,41,10,,PSB,國小,國小用地
2624,41,10,,PSF,大專,大專用地
2625,35,13,,PG,機,機關用地
2626,32,19,,PEA,公,公園用地
2627,32,19,,PEA,公,公園用地
2628,41,10,,PSB,國小,國小用地
2629,39,16,,PM,市,市場用地
2630,44,13,,PFD2,污抽,污水抽水站用地
2631,35,13,,PG,機,機關用地
2632,45,13,,PUF,郵,郵政用地
2633,34,17,,PED,廣場,廣場用地
2634,34,17,,PED,廣場,廣場用地
2635,32,19,,PEA,公,公園用地
2636,35,13,,PG,機,機關用地
2637,35,13,,PG,機,機關用地
2638,41,10,,PSB,國小,國小用地
2639,41,10,,PSC,國中,國中用地
2640,41,10,,PSF,大專,大專用地
2641,41,10,,PSF,大專,大專用地
2642,41,10,,PSF,大專,大專用地
2643,41,10,,PSF,大專,大專用地
2644,41,10,,PSD,高中,高中用地
2645,53,15,,PE,中正紀念堂,中正紀念堂用地
2646,35,13,,PG,機,機關用地
2647,34,17,,PED,廣場,廣場用地
2648,34,17,,PED1,交廣,交通廣場用地
2649,45,13,,PUF2,學校郵政,學校及郵政用地
2650,32,19,,PEA,公,公園用地
2651,42,18,,PTA,交,交通用地
2652,41,10,,PSB,國小,國小用地
2653,42,18,,PTA,交,交通用地
2654,32,19,,PEB,綠,綠地用地
2655,34,17,,PED1,交廣,交通廣場用地
2656,32,19,,PEA,公,公園用地
2657,42,18,,PTA,交,交通用地
2658,42,18,,PTA,交,交通用地
2659,41,10,,PSD,高中,高中用地
2660,41,10,,PSF,大專,大專用地
2661,32,19,,PEB,綠,綠地用地
2662,32,19,,PEB,綠,綠地用地
2663,32,19,,PEB,綠,綠地用地
2664,32,19,,PEB,綠,綠地用地
2665,32,19,,PEB,綠,綠地用地
2666,32,19,,PEB,綠,綠地用地
2667,32,19,,PEB,綠,綠地用地
2668,32,19,,PEB,綠,綠地用地
2669,32,19,,PEB,綠,綠地用地
2670,32,19,,PEB,綠,綠地用地
2671,32,19,,PEB,綠,綠地用地
2672,32,19,,PEB,綠,綠地用地
2673,38,13,,PHB,醫院,醫院用地
2674,41,10,,PSC,國中,國中用地
2675,35,13,,PG,機,機關用地
2676,41,10,,PSC,國中,國中用地
