main_category,mrt_area_km2,mrt_composition_pct
住宅,29.29112461380676,36.25240799664221
商業服務,9.007266686400754,11.147919759149401
文教,7.381868729844371,9.136232237591567
公園綠地遊憩,7.180738166147921,8.88730129513532
保護保育,6.393213572483473,7.9126148242902845
水域水利,4.390384872931676,5.433796952978111
特殊專用,3.9546084715831995,4.89445460592644
公共行政服務,3.581886461556148,4.433152059336606
交通運輸,3.4751118811316317,4.301001597233991
工業產業,2.5904875740217372,3.2061388451914046
農業,2.4145678640444825,2.9884103289656982
文化宗教保存,0.537152340029467,0.6648111345619158
公共事業設施,0.5245700076891435,0.6492385045736583
殯葬,0.07475395020883055,0.09251985842338752
