district_name,main_category,area_km2,district_total_km2,district_pct
中山區,住宅,3.0253697946591687,12.196869351425159,24.804478161485477
中山區,商業服務,2.2772216297555388,12.196869351425159,18.67054212144573
中山區,保護保育,1.9377625653529205,12.196869351425159,15.887376584274884
中正區,住宅,2.1034768936006287,5.9777450993975965,35.18846753456592
中正區,商業服務,0.8393492524144006,5.9777450993975965,14.041235256066464
中正區,公共行政服務,0.6308850319454316,5.9777450993975965,10.55389651875602
信義區,保護保育,3.9694463520852037,10.436941914310065,38.032657311647064
信義區,住宅,3.1974665331117995,10.436941914310065,30.63604798573959
信義區,特殊專用,1.1935602991281913,10.436941914310065,11.435919725601842
內湖區,保護保育,16.021426835499536,30.31643538181502,52.84733061034548
內湖區,住宅,4.763499732212417,30.31643538181502,15.712598371871088
內湖區,公園綠地遊憩,2.649449239047533,30.31643538181502,8.739316498392737
北投區,保護保育,34.10028472262153,56.09466997591206,60.790596927060506
北投區,住宅,6.433569960080202,56.09466997591206,11.469128818910743
北投區,農業,5.001901094352229,56.09466997591206,8.916891919499882
南港區,保護保育,11.773511331744535,21.10529002134976,55.78464602871909
南港區,公共行政服務,2.517360149577258,21.10529002134976,11.927626424610791
南港區,住宅,1.5166760811654572,21.10529002134976,7.186236624235976
士林區,保護保育,38.40173611464325,58.999817299224816,65.08788988258071
士林區,住宅,9.291234476173825,58.999817299224816,15.747903809688408
士林區,水域水利,4.894968426918442,58.999817299224816,8.296582347184245
大同區,住宅,1.0642531108652649,4.03308453869033,26.388068503291564
大同區,商業服務,0.8847603440336133,4.03308453869033,21.937560086973104
大同區,水域水利,0.726523326941064,4.03308453869033,18.01408624023014
大安區,住宅,4.257004716852602,9.650144820971166,44.11337649152698
大安區,文教,2.213989112677026,9.650144820971166,22.942548052395093
大安區,商業服務,0.876815663250243,9.650144820971166,9.086036318800058
文山區,保護保育,12.696431988730247,30.04598196080028,42.25667180821297
文山區,住宅,6.300142473019272,30.04598196080028,20.968336069823916
文山區,公園綠地遊憩,2.3909775340523134,30.04598196080028,7.957728048867634
松山區,交通運輸,2.425539853630091,7.8297569964484115,30.97848189580238
松山區,住宅,2.3093758889526703,7.8297569964484115,29.494860313036614
松山區,特殊專用,1.205916567474436,7.8297569964484115,15.40171129220794
萬華區,水域水利,2.8223566891381227,6.540459683675934,43.152267969517915
萬華區,住宅,1.698851829250108,6.540459683675934,25.974501967961107
萬華區,商業服務,1.0414385521496168,6.540459683675934,15.923017685574925
