main_category,area_km2,pct
保護保育,119.95090887471945,47.19149426213343
住宅,45.96171863625352,18.08241556190228
水域水利,18.103674154473406,7.12240901714771
公園綠地遊憩,13.846186075460684,5.447413586628091
文教,11.406294297931623,4.487503070737399
商業服務,10.065936392492038,3.9601749079318864
交通運輸,7.694939642441213,3.0273693079141077
公共行政服務,7.259796184663904,2.856173689777106
農業,5.506884243059189,2.1665371158628375
工業產業,4.754765149402029,1.8706358657119653
特殊專用,4.571338651415447,1.7984715894387624
公共事業設施,2.6191962271439566,1.030453081883367
殯葬,1.8115400478731154,0.7127022427492966
文化宗教保存,0.6259076122940909,0.24624670018175643
