main_category,city_area_km2,mrt_area_km2,mrt_coverage_pct
商業服務,10.065936392492038,9.007266686400754,89.4826505472365
特殊專用,4.571338651415447,3.9546084715831995,86.50876194347829
文化宗教保存,0.6259076122940909,0.537152340029467,85.8197487103063
文教,11.406294297931623,7.381868729844371,64.71750190754742
住宅,45.96171863625352,29.29112461380676,63.729393684383695
工業產業,4.754765149402029,2.5904875740217372,54.481924819094864
公園綠地遊憩,13.846186075460684,7.180738166147921,51.86076604065143
公共行政服務,7.259796184663904,3.581886461556148,49.33866420551548
交通運輸,7.694939642441213,3.4751118811316317,45.16100245887251
農業,5.506884243059189,2.4145678640444825,43.8463522651266
水域水利,18.103674154473406,4.390384872931676,24.25134718770231
公共事業設施,2.6191962271439566,0.5245700076891435,20.027900248663272
保護保育,119.95090887471945,6.393213572483473,5.329858383283073
殯葬,1.8115400478731154,0.07475395020883055,4.126541408598575
